Background,Clothing,Ear,Eyes,Face,Hair,Headgear,Mouth,Neck,Offhand,Special,Type,Unnamed: 0,image,name,num
Off White C,Green Yukata,,Determined,,Brown Samurai,Straw Hat,Scroll,,,,Human,48.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/48.png,Azuki #48,48
Cool Gray,Hoshi Jacket,,Careless,,Maroon Disheveled,,Growl,,Shuriken,,Human,49.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/49.png,Azuki #49,49
Off White A,Turquoise Kimono,,Determined,,Indigo Bangs,Full Bandana,Wheat Straw,,,,Human,50.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/50.png,Azuki #50,50
Red,Black Ninja Top,,Relaxed,,Indigo Bangs,,Lipstick,,Sakura Katana,,Human,51.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/51.png,Azuki #51,51
Off White D,Yellow Jumpsuit,,Careless,,Blue Short Spiky,Red Panda Baseball Cap,Whistling,,,,Human,52.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/52.png,Azuki #52,52
Off White C,Bloody Bomber,,Determined,Blue Sunglasses,Brown Messy,,Chuckle,,Hand Wrap,,Human,53.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/53.png,Azuki #53,53
Dark Blue,Sloth Kimono,,Calm,,Violet Flowy,,Smile,,Guitar,,Human,54.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/54.png,Azuki #54,54
Red,Alpine Jacket,,Indifferent,,Brown Fluffy,,Smirk,,Boombox,,Human,55.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/55.png,Azuki #55,55
Red,Black Hoodie,,Tired,,Black Disheveled,IKZ Baseball Cap,Face Mask,,Gloves,,Human,56.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/56.png,Azuki #56,56
Off White A,Light Kimono,,Pierced Eyebrow,Black Glasses,Brown Ponytail,,Scroll,,Katana,,Human,57.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/57.png,Azuki #57,57
Off White C,Suit with Turtleneck,,Tired,,Green Fluffy,,Smoking,,Guitar,,Human,58.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/58.png,Azuki #58,58
Off White D,White T-Shirt,,Closed,Eye Patch,Blonde Long,Backwards Cap,Pout,,,,Human,59.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/59.png,Azuki #59,59
Off White C,Green Yukata,,Bored,,Purple Spiky,,Smoking,,Coin,,Human,60.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/60.png,Azuki #60,60
Cool Gray,Red Kimono,,Closed,Eye Patch,Green Samurai,,Meh,Chain,Banner,,Human,61.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/61.png,Azuki #61,61
Off White C,Blue Kimono,,Meditating,,Silver Short Spiky,,Smirk,,Coin,,Blue,62.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/62.png,Azuki #62,62
Off White B,Cat Kimono,,Hopeful,,Magenta Flowy,,Closed,,Monk Staff,,Human,63.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/63.png,Azuki #63,63
Red,Black Hoodie,,Indifferent,,Orange Samurai,,Face Mask,,,,Human,64.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/64.png,Azuki #64,64
Off White D,Cat Yukata,,Determined,,Black Swept Back,,Whistling,,,,Human,65.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/65.png,Azuki #65,65
Off White B,Green Yukata,,Meditating,,Blonde Short Spiky,,Not Bad,,Coin,,Human,66.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/66.png,Azuki #66,66
Off White B,Tank Top with Jacket,,Amethyst,,Black Bangs,,Lipstick,,Hand Wrap,,Human,67.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/67.png,Azuki #67,67
Red,Yellow Bikini,,Striking,,Brown Ponytail,,Grass,,,,Human,68.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/68.png,Azuki #68,68
Off White B,Hawaiian Shirt,,Indifferent,,Brown Disheveled,,420,,Hand Seal,,Human,69.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/69.png,Azuki #69,69
Off White B,Red Floral Kimono,,Determined,,Teal Bun,,Lipstick,Tribal Tattoo,Banner,,Human,70.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/70.png,Azuki #70,70
Off White D,Brown Yukata,,Focused,,Indigo Disheveled,,Relaxed,Towel,,,Human,71.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/71.png,Azuki #71,71
Off White D,Blue Kimono with Bow,,Determined,,Blue Bun,,Grass,,Lantern,,Human,72.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/72.png,Azuki #72,72
Off White D,Turquoise Kimono with Bow,,Calm,Red Stripes Face Paint,Maroon Ponytail,,Frown,,,,Human,73.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/73.png,Azuki #73,73
Off White B,Black Kimono,,Determined,,Indigo Disheveled,,Relaxed,,Lantern,,Human,74.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/74.png,Azuki #74,74
Off White A,White T-Shirt,,Pensive,,Black Swept Back,,Pout,,Shuriken,,Human,75.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/75.png,Azuki #75,75
Red,Black Qipao,,Closed,,Silver Bangs,Ayaigasa,Bubble Gum,,,,Human,76.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/76.png,Azuki #76,76
Off White C,Azuki Sweater,Chill,Careless,,Brown Messy,Backwards Cap,420,,Fireball,,Human,77.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/77.png,Azuki #77,77
Off White A,Red Perfecto Jacket,,Focused,,Orange Short Spiky,,Stubble,,Hook Sword,,Human,78.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/78.png,Azuki #78,78
Off White D,White Hoodie,,Chill,,Orange Swept Back,,Whistling,,,,Human,79.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/79.png,Azuki #79,79
Off White A,Red Kimono,Chill,Meditating,,Teal Long,,Pout,Chain,,,Human,80.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/80.png,Azuki #80,80
Off White D,Lavender Kimono with Bow,,Joyful,,Brown Flowy,,Scroll,,,,Human,81.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/81.png,Azuki #81,81
Off White C,Frog Hoodie,,Closed,,Indigo Bangs,,Smile,,Lantern,,Human,82.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/82.png,Azuki #82,82
Off White C,Kimono with Jacket,,Focused,,Orange Samurai,Horns,Relaxed,,,,Human,83.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/83.png,Azuki #83,83
Off White D,Suikan,,Closed,,Green Half Bun,Full Bandana,Smoking,,Lantern,,Human,84.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/84.png,Azuki #84,84
Off White A,Red Hoodie,,Tired,,Pink Samurai,Cat Baseball Cap,Chuckle,,,,Human,85.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/85.png,Azuki #85,85
Off White D,Camo Tech Jacket,Small Hoop,Meditating,,Black Fluffy,,Chuckle,,,,Human,86.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/86.png,Azuki #86,86
Cool Gray,Vegan Mink Coat,,Meditating,Round Purple Sunglasses,Indigo Long,Fur Bucket Hat,Smoking,,Fireball,Fireflies,Human,87.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/87.png,Azuki #87,87
Off White D,Hoodie with Bag,,Relaxed,,Purple Bangs,Backwards Cap,Relaxed,,,,Human,88.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/88.png,Azuki #88,88
Off White A,Blue Kimono,,Suspicious,,Green Samurai,Fur Bucket Hat,Meh,,Leather Katana,,Human,89.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/89.png,Azuki #89,89
Off White D,Red Floral Kimono,,Ruby,,Silver Pixie,,Smirk,,,,Red,90.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/90.png,Azuki #90,90
Off White A,Red Qipao with Fur,,Closed,,Blonde Flowy,,Toothpick,,Bean Juice,,Human,91.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/91.png,Azuki #91,91
Off White D,Denim Jacket,,Calm,,Pink Hairband,,Face Mask,,Katana,,Human,92.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/92.png,Azuki #92,92
Off White C,Blue Kimono,,Focused,,Powder Blue Swept Back,,Meh,,Sakura Katana,,Human,93.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/93.png,Azuki #93,93
Off White C,Hoodie,,Closed,Seer Eyeband,Blue Bun,,Laughing,Choker,,,Human,94.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/94.png,Azuki #94,94
Off White D,Blue Qipao,,Concerned,,Brown Bangs,,Smirk,,,,Human,95.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/95.png,Azuki #95,95
Off White C,White Hoodie,,Pensive,,Brown Spiky,,Gaiter,,Zanbato,,Human,96.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/96.png,Azuki #96,96
Dark Blue,Red Panda T-Shirt,,Closed,,Silver Swept Back,,Toothpick,,Zanbato,,Human,97.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/97.png,Azuki #97,97
Dark Purple,Fur Hoodie,,Determined,,Blonde Short Spiky,,Face Mask,,Coin,,Human,98.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/98.png,Azuki #98,98
Red,Azuki Track Jacket,,Focused,,Magenta Messy,,Relaxed,,Sake,,Red,99.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/99.png,Azuki #99,99
Off White B,Stitched Samurai Armor,,Glowing,,Blue Bob,,Lipstick,Chill Headphones,,,Human,100.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/100.png,Azuki #100,100
Off White C,Bloody Bomber,,Determined,,Blue Short Spiky,,Closed,Beads,Katana,,Human,101.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/101.png,Azuki #101,101
Off White B,Light Kimono,,Focused,,Powder Blue Disheveled,Cat Headband,Growl,,Coin,,Human,102.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/102.png,Azuki #102,102
Red,Azuki Sweater,Skull Ear Cuffs,Pierced Eyebrow,,Braids,,Meh,Contract Tattoo,Boombox,,Human,103.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/103.png,Azuki #103,103
